CDS_ID	Low_A	Low_B	High_A	High_B
CDS_1252	271	153	52	78
CDS_1253	6	0	0	0
CDS_1254	1	10	10	4
CDS_1257	0	1	21	0
CDS_1258	77	5	8	0
CDS_1261	3	44	9	21
CDS_1263	3	2	1	11
CDS_1264	1	4	0	5
CDS_1266	2	2	7	6
CDS_1269	6	5	4	6
CDS_1275	14	15	29	4
CDS_1276	0	0	0	6
CDS_1280	0	0	8	0
CDS_1281	51	33	0	0
CDS_1283	3	1	11	11
CDS_1289	10	13	3	9
CDS_1290	3	3	14	54
CDS_1291	1	0	0	8
CDS_1293	22	26	12	10
CDS_1294	10	0	13	0
CDS_1296	0	3	95	50
CDS_1297	7	5	0	5
CDS_1299	23	18	18	5
CDS_1301	24	22	12	0
CDS_1304	5	13	15	4
CDS_1305	0	5	8	0
CDS_1307	23	14	19	13
CDS_1309	207	307	84	18
CDS_1311	66	71	33	20
CDS_1312	0	0	10	0
CDS_1313	0	11	17	0
CDS_1314	20	7	0	11
CDS_1315	183	156	639	201
CDS_1317	55	37	19	0
CDS_1318	36	10	47	21
CDS_1319	83	21	26	25
CDS_1320	5	11	0	16
CDS_1321	166	114	93	38
CDS_1322	1	0	56	6
CDS_1324	5	3	35	0
CDS_1327	4	16	0	29
CDS_1331	2	3	0	10
CDS_1334	6	6	17	0
CDS_1337	23	49	30	21
CDS_1343	670	245	133	489
CDS_1348	803	343	205	205
CDS_1351	103	51	64	92
CDS_1355	111	80	39	67
CDS_1360	2	5	0	17
CDS_1362	6	0	0	0
CDS_1366	174	168	116	85
CDS_1369	175	240	52	59
CDS_1370	81	30	23	6
CDS_1372	39	15	58	7
CDS_1373	98	30	26	6
CDS_1378	0	1	23	0
CDS_1379	0	0	108	0
CDS_1384	37	29	5	26
CDS_1387	0	0	43	11
CDS_1388	330	252	115	138
CDS_1393	0	0	66	0
CDS_1396	0	0	12	8
CDS_1405	1	1	17	0
CDS_1406	0	0	18	0
CDS_1410	802	723	247	193
CDS_1426	32	11	17	9
CDS_1429	2	9	167	61
CDS_1432	86	76	22	7
CDS_1434	174	130	128	90
CDS_1435	184	132	105	50
CDS_1446	1	0	16	0
CDS_1451	308	324	104	78
CDS_1452	59	65	48	59
CDS_1462	123	150	106	17
CDS_1465	310	143	7	58
CDS_1472	0	0	7	0
CDS_1476	24	23	37	6
CDS_1479	58	31	35	30
CDS_1480	21	14	8	17
CDS_1483	14	34	11	0
CDS_1484	92	55	107	18
CDS_1497	2	1	16	0
CDS_1501	57	67	53	8
CDS_1505	5	16	30	7
CDS_1506	11	2	0	0
CDS_1507	0	13	24	26
CDS_1520	10	6	8	0
CDS_1521	33	23	42	17
CDS_1539	1	0	34	12
CDS_1540	398	338	90	115
CDS_1542	213	255	70	49
CDS_1543	121	32	21	44
CDS_1548	0	0	23	0
CDS_1549	186	187	49	44
CDS_1550	0	4	5	0
CDS_1554	16	4	13	21
CDS_1556	142	64	17	14
CDS_1557	63	48	15	18
CDS_1559	0	0	14	0
CDS_1561	138	192	51	26
CDS_1564	152	72	45	41
CDS_1567	0	0	15	0
CDS_1572	56	35	51	11
CDS_1574	0	0	6	0
CDS_1575	61	29	2	43
CDS_1576	18	7	1	3
CDS_1577	36	28	0	2
CDS_1579	5	1	10	27
CDS_1582	5	3	8	0
CDS_1584	0	17	2	0
CDS_1590	5	9	0	0
CDS_1591	18	23	0	0
CDS_1592	7	77	21	17
CDS_1596	30	18	8	35
CDS_1599	34	27	21	11
CDS_1600	0	8	0	0
CDS_1603	0	0	16	0
CDS_1613	3	2	0	2
CDS_1614	2	0	0	13
CDS_1619	3	18	0	0
CDS_1622	0	1	59	0
CDS_1627	33	11	31	21
CDS_1631	57	32	0	1
CDS_1638	75	47	103	14
CDS_1641	18	8	0	1
CDS_1642	0	0	13	0
CDS_1649	21	24	59	0
CDS_1650	5	0	7	0
CDS_1651	0	0	0	10
CDS_1654	135	97	82	63
CDS_1655	59	28	29	19
CDS_1658	0	5	1	6
CDS_1659	39	35	57	78
CDS_1660	88	33	5	0
CDS_1661	26	16	39	17
CDS_1665	17	22	22	0
CDS_1666	130	57	6	12
CDS_1669	53	29	17	40
CDS_1674	6	27	50	180
CDS_1675	2	2	4	0
CDS_1677	24	25	5	9
CDS_1678	31	3	0	0
CDS_1679	18	17	0	0
CDS_1681	0	0	22	0
CDS_1682	0	0	0	8
CDS_1684	14	4	8	0
CDS_1685	32	54	27	29
CDS_1688	3	9	0	13
CDS_1689	0	1	22	0
CDS_1690	7	5	7	0
CDS_1692	38	24	21	48
CDS_1694	12	9	10	0
CDS_1695	3	5	2	32
CDS_1696	8	2	0	0
CDS_1697	13	5	0	0
CDS_1704	0	3	4	0
CDS_1706	99	94	31	23
CDS_1707	109	60	72	9
CDS_1709	8	7	0	0
CDS_1711	54	27	13	29
CDS_1714	21	16	1	3
CDS_1715	116	106	96	15
CDS_1720	2	151	10	0
CDS_1723	40	44	3	0
CDS_1724	0	3	0	4
CDS_1730	17	31	11	6
CDS_1732	0	0	30	0
CDS_1735	14	6	0	0
CDS_1737	12	17	4	10
CDS_1739	30	37	20	14
CDS_1741	1	0	5	0
CDS_1743	6	9	0	2
CDS_1744	299	439	18	31
CDS_1745	19	28	20	5
CDS_1753	4	10	0	0
CDS_1755	22	7	0	0
CDS_1759	22	17	42	0
CDS_1762	26	12	0	0
CDS_1767	18	22	0	4
CDS_1768	56	30	16	14
CDS_1772	0	0	49	0
CDS_1774	24	11	0	49
CDS_1775	3	0	0	0
CDS_1778	19	17	0	5
CDS_1780	0	0	40	25
CDS_1781	102	95	45	48
CDS_1784	0	1	0	12
CDS_1787	34	34	26	14
CDS_1788	33	9	11	6
CDS_1789	0	0	31	0
CDS_1794	3	9	0	0
CDS_1796	0	0	8	0
CDS_1797	77	42	53	8
CDS_1799	170	104	1	10
CDS_1801	0	0	0	7
CDS_1802	7	4	0	8
CDS_1805	0	0	14	0
CDS_1806	16	4	0	1
CDS_1809	143	130	30	12
CDS_1810	26	10	0	0
CDS_1811	1	8	1	0
CDS_1827	6	2	0	2
CDS_1830	0	3	0	12
CDS_1832	9	6	0	8
CDS_1835	6	4	0	0
CDS_1836	51	51	9	21
CDS_1839	0	0	32	0
CDS_1841	18	18	5	0
CDS_1844	17	19	0	0
CDS_1846	0	4	69	9
CDS_1847	29	20	7	22
CDS_1848	27	58	28	26
CDS_1850	8	29	15	14
CDS_1854	11	7	0	0
CDS_1856	193	153	57	46
CDS_1861	173	67	65	63
CDS_1862	0	2	49	43
CDS_1868	5	11	0	27
CDS_1869	37	17	0	4
CDS_1871	3	11	3	13
CDS_1873	0	0	0	9
CDS_1874	0	0	0	5
CDS_1875	1	1	80	35
CDS_1876	20	9	9	7
CDS_1881	51	39	27	17
CDS_1885	7	1	1	4
CDS_1888	3	2	5	6
CDS_1890	3	14	1	8
CDS_1891	113	115	10	9
CDS_1894	11	2	5	16
CDS_1899	0	0	17	0
CDS_1901	5	0	0	3
